drone_type,temperature,wind_speed,rain,humidity,time_of_day,mission,payload,altitude,enemy_contact,temp_humidity,base_life,wind_rain,flight_duration_pct
ScanEagle,53.1,11.21,0,84.32,21,recon,2.894,187.0,1,4477.07,900,0.0,86.28
Wasp AE,40.3,14.44,0,34.41,8,surveillance,0.002,355.0,1,1386.63,60,0.0,1.67
ScanEagle,38.08,9.0,0,53.02,16,surveillance,2.987,1015.0,1,2018.76,900,0.0,91.26
RQ-4 Global Hawk,26.97,0.66,0,99.36,23,surveillance,642.132,1143.0,0,2679.38,3600,0.0,88.95
ScanEagle,7.1,4.43,1,20.82,7,strike,0.313,955.0,1,147.92,900,4.43,96.33
RQ-4 Global Hawk,64.77,11.56,1,47.98,2,surveillance,857.462,1400.0,0,3107.82,3600,11.56,83.35
RQ-4 Global Hawk,15.71,5.13,0,25.31,2,strike,1343.01,1312.0,0,397.69,3600,0.0,77.24
RQ-4 Global Hawk,44.91,4.48,0,77.48,5,recon,832.755,673.0,1,3479.62,3600,0.0,85.49
MQ-9 Reaper,36.51,17.48,1,68.39,18,strike,827.034,1487.0,1,2496.8,2400,17.48,72.59
MQ-9 Reaper,12.66,17.02,1,52.82,10,surveillance,864.371,251.0,1,668.53,2400,17.02,72.47
RQ-4 Global Hawk,-7.78,5.73,1,59.81,6,recon,1143.38,1304.0,1,-465.51,3600,5.73,79.91
RQ-4 Global Hawk,25.01,3.34,0,69.12,9,surveillance,76.022,1358.0,0,1728.67,3600,0.0,98.57
ScanEagle,39.82,7.96,1,99.61,22,strike,0.847,126.0,1,3966.85,900,7.96,92.58
RQ-4 Global Hawk,39.99,12.73,0,97.16,2,surveillance,521.487,1315.0,1,3885.58,3600,0.0,88.56
Wasp AE,53.03,9.5,0,84.16,5,strike,0.044,1060.0,0,4463.55,60,0.0,1.67
ScanEagle,28.97,1.4,1,96.31,6,recon,2.57,1282.0,0,2789.78,900,1.4,95.09
Wasp AE,-5.26,4.76,0,49.02,6,surveillance,0.06,833.0,1,-257.63,60,0.0,42.11
Wasp AE,18.52,19.43,1,17.31,19,surveillance,0.059,1279.0,0,320.6,60,19.43,1.67
ScanEagle,58.73,15.14,1,66.29,15,strike,1.505,970.0,1,3893.01,900,15.14,75.46
Wasp AE,17.8,9.3,0,35.84,13,surveillance,0.015,263.0,1,637.86,60,0.0,1.67
RQ-4 Global Hawk,61.13,2.03,1,16.35,2,recon,1301.56,213.0,0,999.77,3600,2.03,77.69
MQ-9 Reaper,47.87,5.17,1,89.85,7,strike,1678.42,242.0,1,4301.11,2400,5.17,63.77
MQ-9 Reaper,6.23,3.36,0,10.02,9,recon,253.927,1422.0,1,62.41,2400,0.0,94.16
RQ-4 Global Hawk,66.7,2.66,1,48.62,12,strike,892.203,1283.0,1,3243.15,3600,2.66,84.47
RQ-4 Global Hawk,46.77,16.6,0,23.35,11,surveillance,271.943,186.0,0,1091.98,3600,0.0,90.29
ScanEagle,58.54,9.13,1,52.89,9,surveillance,2.28,1445.0,0,3095.91,900,9.13,90.8
ScanEagle,31.19,7.92,0,32.62,1,recon,1.796,345.0,0,1017.54,900,0.0,93.99
MQ-9 Reaper,24.53,11.43,0,46.38,12,recon,858.041,1240.0,0,1137.81,2400,0.0,79.41
ScanEagle,58.1,9.17,0,41.16,8,recon,2.381,493.0,1,2391.32,900,0.0,91.5
RQ-4 Global Hawk,-9.26,16.38,1,85.96,2,surveillance,243.538,153.0,0,-796.15,3600,16.38,90.27
ScanEagle,29.33,5.89,1,50.22,22,surveillance,2.013,1059.0,1,1473.16,900,5.89,93.63
RQ-4 Global Hawk,64.7,4.93,1,84.05,16,recon,1028.856,369.0,0,5438.38,3600,4.93,82.11
ScanEagle,46.04,14.25,1,68.75,22,recon,1.605,303.0,0,3165.21,900,14.25,78.97
RQ-4 Global Hawk,59.58,6.6,0,36.62,1,surveillance,923.642,113.0,1,2182.07,3600,0.0,83.76
ScanEagle,52.75,0.75,0,51.55,9,surveillance,0.028,165.0,1,2719.22,900,0.0,98.52
MQ-9 Reaper,41.36,1.18,0,52.01,7,recon,131.039,717.0,0,2150.96,2400,0.0,97.0
RQ-4 Global Hawk,43.08,9.83,0,55.26,16,recon,1147.403,1423.0,1,2380.75,3600,0.0,79.53
MQ-9 Reaper,33.98,13.79,1,98.8,3,recon,1488.724,1166.0,0,3356.78,2400,13.79,63.52
RQ-4 Global Hawk,31.23,15.55,0,41.55,5,surveillance,977.386,870.0,0,1297.71,3600,0.0,79.39
MQ-9 Reaper,56.17,18.04,1,34.57,14,recon,1016.959,740.0,1,1941.71,2400,18.04,67.55
RQ-4 Global Hawk,9.02,3.53,0,72.12,6,surveillance,643.147,266.0,1,650.71,3600,0.0,88.81
Wasp AE,49.89,15.24,0,16.23,5,strike,0.008,403.0,1,809.72,60,0.0,1.67
MQ-9 Reaper,10.96,0.03,0,47.75,8,surveillance,1030.343,1416.0,1,523.49,2400,0.0,77.96
ScanEagle,17.71,19.37,1,99.71,14,surveillance,2.433,685.0,0,1766.11,900,19.37,54.0
ScanEagle,2.05,15.36,1,98.43,17,surveillance,0.204,1290.0,1,201.59,900,15.36,75.99
RQ-4 Global Hawk,1.37,11.98,0,46.07,13,strike,939.964,1452.0,0,63.21,3600,0.0,82.09
ScanEagle,61.36,14.43,0,79.63,6,recon,1.467,1032.0,0,4886.26,900,0.0,79.97
ScanEagle,7.39,0.59,0,87.84,0,surveillance,1.142,438.0,0,649.26,900,0.0,96.88
Wasp AE,-0.22,2.07,1,76.89,13,strike,0.006,873.0,1,-16.74,60,2.07,35.48
Wasp AE,-7.49,14.98,0,41.33,3,surveillance,0.091,1268.0,0,-309.38,60,0.0,1.67
MQ-9 Reaper,13.56,6.78,1,37.65,21,recon,1594.145,1270.0,0,510.78,2400,6.78,65.41
MQ-9 Reaper,54.96,3.94,1,88.18,21,strike,1606.628,830.0,1,4845.96,2400,3.94,65.07
RQ-4 Global Hawk,59.35,15.15,0,37.32,2,strike,273.394,580.0,1,2214.52,3600,0.0,91.12
ScanEagle,67.88,17.82,1,37.15,20,recon,1.455,260.0,1,2521.85,900,17.82,63.07
ScanEagle,65.08,12.15,1,76.04,8,surveillance,0.733,914.0,0,4948.94,900,12.15,86.36
Wasp AE,22.97,2.65,1,43.25,18,recon,0.052,1433.0,0,993.34,60,2.65,54.28
RQ-4 Global Hawk,7.71,4.58,0,33.67,8,recon,1180.062,1144.0,1,259.48,3600,0.0,79.82
RQ-4 Global Hawk,-7.45,7.95,0,18.97,7,recon,1134.261,689.0,1,-141.21,3600,0.0,80.04
RQ-4 Global Hawk,18.73,8.76,0,21.85,12,surveillance,65.548,1304.0,1,409.4,3600,0.0,98.0
ScanEagle,61.56,19.08,1,97.79,13,recon,1.812,1344.0,0,6019.58,900,19.08,55.85
Wasp AE,42.45,8.71,0,42.43,4,surveillance,0.073,746.0,0,1801.06,60,0.0,1.67
Wasp AE,-4.08,8.74,0,94.82,0,recon,0.054,1289.0,0,-387.2,60,0.0,1.67
Wasp AE,67.23,1.59,0,52.0,13,recon,0.1,872.0,1,3495.89,60,0.0,50.98
MQ-9 Reaper,-1.89,17.06,1,33.8,5,recon,283.473,1083.0,0,-64.01,2400,17.06,84.21
MQ-9 Reaper,27.1,4.52,0,66.65,22,recon,1152.297,503.0,1,1806.15,2400,0.0,75.19
MQ-9 Reaper,29.83,4.05,1,86.11,18,surveillance,1635.527,837.0,1,2568.5,2400,4.05,64.98
ScanEagle,12.89,2.23,1,75.53,1,recon,1.896,1285.0,0,973.52,900,2.23,95.34
MQ-9 Reaper,11.69,0.64,1,33.05,14,recon,1007.821,282.0,1,386.48,2400,0.64,78.09
Wasp AE,14.9,11.87,1,47.11,17,surveillance,0.034,1353.0,0,701.84,60,11.87,1.67
MQ-9 Reaper,65.7,18.8,1,92.35,22,surveillance,576.384,680.0,1,6067.9,2400,18.8,74.87
RQ-4 Global Hawk,36.67,10.48,1,91.42,4,recon,822.464,1392.0,0,3352.35,3600,10.48,84.41
Wasp AE,46.52,10.11,0,27.58,23,recon,0.085,1347.0,1,1283.11,60,0.0,1.67
Wasp AE,61.96,6.32,1,96.96,16,recon,0.096,1455.0,0,6007.61,60,6.32,2.85
MQ-9 Reaper,39.14,6.97,0,40.75,17,strike,336.858,105.0,0,1594.71,2400,0.0,92.13
RQ-4 Global Hawk,14.82,11.45,0,85.87,2,recon,1278.901,1372.0,1,1272.7,3600,0.0,76.61
Wasp AE,49.86,8.08,1,98.89,13,surveillance,0.02,526.0,1,4930.3,60,8.08,1.67
ScanEagle,48.92,10.85,1,52.75,3,strike,1.133,162.0,0,2580.43,900,10.85,88.68
MQ-9 Reaper,63.35,1.07,0,10.62,0,surveillance,1631.743,465.0,1,672.85,2400,0.0,65.26
MQ-9 Reaper,41.97,10.18,0,22.67,14,strike,1089.755,375.0,1,951.6,2400,0.0,75.08
ScanEagle,27.46,12.41,0,58.72,14,strike,0.051,948.0,0,1612.67,900,0.0,88.65
RQ-4 Global Hawk,23.51,3.7,0,17.71,6,recon,516.092,749.0,1,416.39,3600,0.0,91.2
RQ-4 Global Hawk,35.14,19.46,1,84.94,7,surveillance,678.949,1111.0,1,2984.95,3600,19.46,80.1
Wasp AE,24.67,19.04,1,81.67,13,strike,0.052,676.0,0,2014.66,60,19.04,1.67
ScanEagle,34.6,17.31,0,27.4,17,strike,0.222,1265.0,1,948.3,900,0.0,69.2
Wasp AE,42.21,15.11,0,80.14,5,surveillance,0.0,199.0,1,3382.43,60,0.0,1.67
RQ-4 Global Hawk,21.26,7.96,0,46.19,8,surveillance,183.357,1388.0,0,981.92,3600,0.0,96.38
MQ-9 Reaper,-4.72,14.01,0,11.28,4,strike,984.598,1083.0,1,-53.29,2400,0.0,73.69
ScanEagle,25.14,8.99,0,84.7,0,recon,1.996,806.0,0,2129.7,900,0.0,92.33
Wasp AE,8.26,4.9,0,97.86,15,recon,0.097,960.0,1,808.05,60,0.0,42.66
MQ-9 Reaper,-1.57,15.73,1,68.18,6,strike,205.795,274.0,1,-106.8,2400,15.73,87.66
RQ-4 Global Hawk,44.71,11.19,1,75.46,1,surveillance,40.291,354.0,0,3374.07,3600,11.19,97.16
RQ-4 Global Hawk,13.66,7.57,1,46.93,4,strike,1249.32,996.0,0,640.92,3600,7.57,78.15
ScanEagle,69.21,10.03,0,87.36,20,strike,1.777,926.0,0,6046.14,900,0.0,90.86
ScanEagle,51.45,7.74,1,38.89,11,strike,2.607,1357.0,0,2001.17,900,7.74,92.18
ScanEagle,1.82,1.74,1,23.97,3,strike,0.102,1110.0,1,43.63,900,1.74,96.28
ScanEagle,59.59,19.64,0,84.22,18,recon,0.674,268.0,1,5019.17,900,0.0,54.32
MQ-9 Reaper,-2.91,8.35,0,97.31,19,surveillance,480.552,568.0,1,-283.39,2400,0.0,88.09
ScanEagle,4.88,3.03,1,12.95,18,surveillance,1.446,315.0,1,63.25,900,3.03,95.55
Wasp AE,60.96,7.9,1,46.28,6,surveillance,0.029,213.0,0,2821.19,60,7.9,1.67
MQ-9 Reaper,4.9,13.44,0,30.12,16,recon,877.503,883.0,0,147.54,2400,0.0,77.13
Wasp AE,25.13,13.6,0,93.23,13,recon,0.024,490.0,1,2343.3,60,0.0,1.67
MQ-9 Reaper,56.4,11.47,1,38.36,7,recon,367.24,848.0,0,2163.94,2400,11.47,88.91
Wasp AE,25.09,0.34,0,63.02,5,recon,0.036,724.0,1,1581.07,60,0.0,71.33
ScanEagle,11.96,10.3,0,58.53,14,surveillance,1.958,577.0,1,699.79,900,0.0,90.1
RQ-4 Global Hawk,54.8,10.85,1,24.25,0,surveillance,962.108,243.0,0,1328.82,3600,10.85,82.04
Wasp AE,49.19,9.87,1,63.69,9,surveillance,0.049,879.0,0,3132.65,60,9.87,1.67
RQ-4 Global Hawk,18.15,18.92,1,74.33,1,strike,684.437,1250.0,0,1348.82,3600,18.92,80.81
Wasp AE,13.01,4.26,0,45.37,21,strike,0.07,1094.0,1,590.25,60,0.0,53.52
Wasp AE,23.52,8.56,1,82.95,12,recon,0.08,666.0,0,1950.7,60,8.56,1.67
MQ-9 Reaper,66.49,7.62,1,91.68,8,strike,1284.27,1265.0,1,6095.83,2400,7.62,71.18
ScanEagle,51.97,12.26,0,87.71,22,surveillance,1.279,1016.0,0,4557.97,900,0.0,86.36
ScanEagle,16.24,11.77,0,57.89,10,strike,1.575,998.0,0,940.19,900,0.0,88.65
ScanEagle,16.23,19.51,0,42.67,8,strike,2.97,346.0,0,692.57,900,0.0,54.11
ScanEagle,20.77,11.13,0,79.83,15,recon,2.816,797.0,0,1657.93,900,0.0,88.45
MQ-9 Reaper,13.42,6.51,1,70.15,14,recon,236.681,505.0,1,941.55,2400,6.51,93.68
RQ-4 Global Hawk,-0.76,1.01,1,86.11,3,surveillance,1280.337,1222.0,1,-65.23,3600,1.01,77.77
Wasp AE,64.5,7.03,0,42.89,7,strike,0.071,1145.0,0,2766.18,60,0.0,26.72
MQ-9 Reaper,35.25,15.51,1,49.7,22,strike,1041.313,1348.0,0,1752.08,2400,15.51,70.99
MQ-9 Reaper,28.94,11.46,0,12.79,12,surveillance,1599.698,799.0,1,370.12,2400,0.0,63.69
ScanEagle,25.62,12.78,0,62.24,21,strike,1.102,586.0,1,1594.75,900,0.0,85.53
Wasp AE,39.12,3.86,1,91.75,12,recon,0.056,713.0,0,3588.89,60,3.86,36.17
MQ-9 Reaper,51.13,16.43,0,73.56,16,recon,1235.534,996.0,0,3761.23,2400,0.0,66.11
ScanEagle,14.12,19.7,1,38.56,8,strike,0.945,907.0,0,544.52,900,19.7,53.77
RQ-4 Global Hawk,50.39,7.28,0,83.98,13,surveillance,264.78,894.0,0,4231.58,3600,0.0,94.84
RQ-4 Global Hawk,37.95,16.74,0,31.43,11,surveillance,268.217,1319.0,1,1193.06,3600,0.0,90.16
ScanEagle,13.46,7.35,1,21.42,21,surveillance,0.721,1034.0,1,288.35,900,7.35,93.81
MQ-9 Reaper,27.49,13.41,1,10.19,17,recon,1680.456,1229.0,0,279.98,2400,13.41,60.32
RQ-4 Global Hawk,57.05,6.92,1,75.16,2,strike,363.353,505.0,1,4287.24,3600,6.92,92.82
RQ-4 Global Hawk,63.89,10.55,0,13.97,6,recon,419.047,428.0,1,892.66,3600,0.0,91.34
MQ-9 Reaper,58.96,12.11,1,83.81,2,strike,843.108,1092.0,0,4941.32,2400,12.11,78.16
RQ-4 Global Hawk,-8.03,0.2,0,58.52,16,surveillance,11.872,598.0,1,-470.08,3600,0.0,99.23
ScanEagle,30.91,11.69,1,42.77,13,strike,0.205,157.0,1,1321.9,900,11.69,88.45
RQ-4 Global Hawk,25.56,0.3,1,46.43,15,strike,527.497,699.0,0,1186.74,3600,0.3,90.88
RQ-4 Global Hawk,21.32,7.49,0,12.95,14,surveillance,1184.989,645.0,1,275.98,3600,0.0,79.69
Wasp AE,3.7,5.79,1,82.91,5,surveillance,0.064,1219.0,0,306.52,60,5.79,7.38
MQ-9 Reaper,16.1,5.23,1,74.68,6,surveillance,631.515,481.0,0,1202.17,2400,5.23,85.97
ScanEagle,28.61,9.43,0,18.31,8,strike,0.239,195.0,0,523.81,900,0.0,94.76
MQ-9 Reaper,21.1,17.16,0,67.18,5,surveillance,46.995,934.0,0,1417.56,2400,0.0,89.89
Wasp AE,23.04,15.83,1,35.83,2,recon,0.065,391.0,1,825.5,60,15.83,1.67
ScanEagle,64.45,3.42,0,28.31,2,recon,0.013,767.0,1,1824.45,900,0.0,97.49
ScanEagle,26.51,17.58,1,60.96,7,strike,1.978,1285.0,1,1616.27,900,17.58,64.73
ScanEagle,-9.72,1.53,0,33.17,2,surveillance,1.568,1151.0,0,-322.52,900,0.0,95.88
Wasp AE,25.2,12.57,0,65.7,0,strike,0.046,1232.0,0,1655.41,60,0.0,1.67
MQ-9 Reaper,9.4,15.76,1,42.87,15,strike,433.469,322.0,1,403.13,2400,15.76,83.12
ScanEagle,17.38,1.82,1,14.17,23,strike,1.16,1010.0,1,246.23,900,1.82,96.05
MQ-9 Reaper,56.48,18.63,0,14.53,16,strike,1005.78,1206.0,0,820.56,2400,0.0,67.44
MQ-9 Reaper,37.44,10.76,1,41.3,17,strike,196.939,869.0,0,1546.51,2400,10.76,93.13
Wasp AE,12.02,0.95,0,70.82,1,strike,0.0,547.0,1,851.07,60,0.0,68.1
Wasp AE,36.41,12.02,1,59.22,18,strike,0.024,869.0,1,2156.49,60,12.02,1.67
Wasp AE,38.99,1.78,1,84.9,23,surveillance,0.042,956.0,1,3310.31,60,1.78,27.68
ScanEagle,46.76,1.05,0,51.98,6,strike,1.178,911.0,1,2430.77,900,0.0,97.3
MQ-9 Reaper,8.18,5.73,0,84.57,0,strike,1113.46,669.0,0,691.68,2400,0.0,75.77
ScanEagle,25.42,8.35,1,20.19,2,surveillance,2.485,1339.0,0,513.36,900,8.35,91.79
ScanEagle,62.23,17.16,0,90.32,19,recon,1.956,245.0,0,5620.24,900,0.0,67.94
MQ-9 Reaper,48.57,0.97,0,25.26,22,surveillance,1249.541,1296.0,0,1226.8,2400,0.0,73.5
ScanEagle,56.81,6.3,1,93.61,14,recon,1.125,1442.0,1,5318.42,900,6.3,94.2
MQ-9 Reaper,9.1,16.11,1,14.93,14,recon,420.035,1345.0,1,135.88,2400,16.11,82.99
RQ-4 Global Hawk,49.25,10.93,0,58.33,1,recon,898.325,1136.0,1,2872.89,3600,0.0,83.11
ScanEagle,-8.66,17.07,0,57.11,10,surveillance,0.291,422.0,1,-494.52,900,0.0,68.97
RQ-4 Global Hawk,48.76,9.16,0,92.67,15,recon,394.637,490.0,0,4518.46,3600,0.0,92.25
Wasp AE,68.34,6.37,1,48.68,8,strike,0.076,757.0,1,3327.0,60,6.37,1.67
Wasp AE,36.63,19.78,1,54.02,3,strike,0.084,876.0,1,1978.61,60,19.78,1.67
ScanEagle,1.68,7.87,1,55.45,1,strike,1.684,1348.0,1,93.34,900,7.87,91.48
MQ-9 Reaper,49.3,15.51,1,70.67,21,surveillance,209.776,241.0,0,3484.26,2400,15.51,88.09
Wasp AE,-6.42,14.19,0,65.99,15,surveillance,0.075,370.0,0,-423.54,60,0.0,1.67
RQ-4 Global Hawk,48.68,19.23,0,30.17,19,surveillance,507.199,267.0,1,1468.58,3600,0.0,83.46
RQ-4 Global Hawk,-9.4,9.91,0,62.86,4,surveillance,125.188,752.0,0,-590.89,3600,0.0,96.24
Wasp AE,38.45,14.95,1,56.49,19,recon,0.092,1054.0,0,2172.36,60,14.95,1.67
RQ-4 Global Hawk,7.82,0.69,0,99.58,4,recon,870.869,889.0,1,778.66,3600,0.0,84.92
RQ-4 Global Hawk,69.33,9.73,0,64.83,18,surveillance,1266.586,1294.0,0,4494.59,3600,0.0,77.53
RQ-4 Global Hawk,-6.09,10.17,1,24.84,12,strike,1198.816,652.0,0,-151.23,3600,10.17,78.27
ScanEagle,45.21,3.47,1,81.69,17,recon,1.623,205.0,1,3693.06,900,3.47,94.93
RQ-4 Global Hawk,3.67,4.89,0,48.75,20,surveillance,297.227,1306.0,1,178.74,3600,0.0,94.46
ScanEagle,-2.2,7.2,0,28.98,16,recon,0.643,816.0,0,-63.7,900,0.0,95.62
RQ-4 Global Hawk,50.71,5.83,0,69.55,20,recon,1052.663,154.0,0,3526.77,3600,0.0,81.99
RQ-4 Global Hawk,18.93,3.04,0,54.68,3,recon,387.642,1397.0,0,1034.95,3600,0.0,93.3
ScanEagle,27.33,3.86,1,51.96,13,surveillance,2.121,1040.0,0,1420.18,900,3.86,95.52
ScanEagle,19.04,7.01,1,67.49,9,strike,0.063,779.0,1,1285.27,900,7.01,95.78
Wasp AE,-0.67,1.83,0,98.53,20,strike,0.029,858.0,1,-66.18,60,0.0,59.94
ScanEagle,40.6,9.32,1,81.63,8,strike,2.588,866.0,0,3314.22,900,9.32,90.36
Wasp AE,29.85,12.07,0,20.41,11,surveillance,0.032,359.0,0,609.33,60,0.0,1.67
RQ-4 Global Hawk,39.83,4.34,1,80.49,15,strike,977.769,340.0,1,3205.45,3600,4.34,82.98
RQ-4 Global Hawk,33.24,3.34,0,60.99,0,recon,3.785,1219.0,1,2027.66,3600,0.0,99.46
MQ-9 Reaper,23.16,1.54,0,92.09,1,strike,481.222,243.0,0,2132.65,2400,0.0,89.58
RQ-4 Global Hawk,4.59,8.96,1,23.87,4,surveillance,1191.743,1271.0,0,109.57,3600,8.96,78.78
ScanEagle,24.25,15.25,0,23.37,8,surveillance,1.689,1085.0,1,566.86,900,0.0,77.28
MQ-9 Reaper,50.84,10.75,1,49.77,10,surveillance,1324.484,554.0,0,2530.61,2400,10.75,69.43
ScanEagle,10.78,6.79,1,61.97,8,recon,1.039,1059.0,0,668.26,900,6.79,95.08
Wasp AE,42.68,0.22,0,82.76,7,strike,0.034,1338.0,0,3532.01,60,0.0,78.34
RQ-4 Global Hawk,41.17,2.37,0,20.22,1,recon,57.236,465.0,0,832.44,3600,0.0,98.71
RQ-4 Global Hawk,38.6,16.45,1,16.09,5,surveillance,401.392,789.0,1,621.16,3600,16.45,87.86
Wasp AE,68.36,15.26,0,74.17,3,recon,0.088,654.0,0,5070.3,60,0.0,1.67
RQ-4 Global Hawk,47.52,10.29,0,23.52,7,strike,1330.42,868.0,0,1117.54,3600,0.0,76.5
MQ-9 Reaper,7.07,4.61,1,72.39,23,strike,1618.652,957.0,0,511.84,2400,4.61,65.11
MQ-9 Reaper,-4.49,13.53,0,28.0,4,strike,1275.909,372.0,1,-125.66,2400,0.0,68.01
ScanEagle,64.59,13.18,1,30.1,2,recon,1.034,779.0,1,1944.27,900,13.18,82.5
ScanEagle,43.32,2.96,1,41.8,11,surveillance,1.116,1382.0,1,1810.83,900,2.96,96.1
MQ-9 Reaper,-1.11,15.35,0,65.97,2,strike,543.763,1269.0,1,-73.07,2400,0.0,81.28
ScanEagle,62.08,14.63,1,18.04,7,recon,0.113,1324.0,0,1120.14,900,14.63,79.68
Wasp AE,66.94,7.49,1,78.77,22,surveillance,0.099,1004.0,0,5272.92,60,7.49,1.67
MQ-9 Reaper,44.49,13.84,0,52.6,12,recon,288.659,1384.0,0,2340.05,2400,0.0,89.1
MQ-9 Reaper,48.62,6.28,1,50.92,16,surveillance,432.68,519.0,1,2475.52,2400,6.28,89.64
ScanEagle,33.83,13.06,1,52.21,2,recon,0.368,598.0,1,1766.32,900,13.06,83.94
ScanEagle,22.11,19.02,0,43.4,15,strike,0.012,817.0,0,959.42,900,0.0,60.53
MQ-9 Reaper,60.36,12.32,1,12.68,22,recon,1064.983,262.0,0,765.32,2400,12.32,73.55
ScanEagle,21.84,11.81,0,18.59,21,surveillance,2.772,1022.0,1,406.08,900,0.0,86.11
RQ-4 Global Hawk,4.53,9.98,1,48.75,3,strike,560.226,468.0,1,220.7,3600,9.98,88.86
RQ-4 Global Hawk,-7.38,4.38,0,28.18,6,strike,826.968,542.0,0,-207.87,3600,0.0,85.72
MQ-9 Reaper,13.92,16.46,0,11.97,21,strike,859.045,612.0,0,166.54,2400,0.0,73.89
MQ-9 Reaper,62.85,17.59,1,20.94,4,strike,398.85,497.0,0,1315.87,2400,17.59,81.11
ScanEagle,1.34,2.57,1,56.88,17,surveillance,0.405,365.0,1,76.27,900,2.57,96.09
ScanEagle,24.61,2.8,0,89.66,13,surveillance,0.697,994.0,1,2206.42,900,0.0,98.12
MQ-9 Reaper,42.79,7.86,1,62.56,2,surveillance,1354.207,616.0,0,2676.7,2400,7.86,69.99
ScanEagle,52.92,14.57,1,49.12,22,strike,1.061,298.0,0,2599.33,900,14.57,78.61
RQ-4 Global Hawk,59.38,6.87,0,64.65,17,recon,877.013,697.0,0,3839.09,3600,0.0,84.68
MQ-9 Reaper,9.94,4.92,0,81.95,0,recon,1372.741,167.0,1,814.61,2400,0.0,70.39
MQ-9 Reaper,9.82,7.14,1,21.08,11,strike,981.518,377.0,1,207.07,2400,7.14,78.04
ScanEagle,13.75,17.61,0,76.15,0,recon,2.507,398.0,1,1047.37,900,0.0,64.34
RQ-4 Global Hawk,42.32,1.77,0,85.01,9,strike,577.473,1340.0,1,3597.44,3600,0.0,89.99
MQ-9 Reaper,5.34,7.66,0,86.41,1,strike,156.925,331.0,1,461.8,2400,0.0,95.12
ScanEagle,13.0,15.26,1,26.81,2,strike,0.518,654.0,1,348.59,900,15.26,76.5
Wasp AE,16.45,9.31,0,64.81,9,surveillance,0.031,886.0,1,1066.41,60,0.0,1.67
Wasp AE,53.03,7.8,0,64.9,16,strike,0.003,1178.0,1,3441.88,60,0.0,21.84
RQ-4 Global Hawk,18.7,14.05,1,61.94,20,surveillance,10.601,1355.0,0,1158.16,3600,14.05,96.48
MQ-9 Reaper,38.96,5.85,0,19.88,14,surveillance,1176.19,610.0,1,774.59,2400,0.0,74.81
ScanEagle,34.86,18.34,0,90.74,13,recon,2.597,709.0,1,3163.47,900,0.0,60.86
ScanEagle,36.01,8.43,1,83.59,8,strike,1.541,543.0,1,3010.16,900,8.43,92.22
Wasp AE,6.2,6.51,0,67.62,22,recon,0.084,1093.0,0,419.03,60,0.0,28.09
Wasp AE,12.22,14.64,0,21.54,13,recon,0.025,1059.0,1,263.29,60,0.0,1.67
